Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Alipore,,Tapas Paul,AITC,37440,52.18,Biplab Chatterjee,CPI(M),26138,11302,15.75,60.27
Alipurduars,,Nirmal Das,RSP,72394,49.97,Sourav Chakroborty,INC,33526,38868,26.83,84.71
Amdanga,,Abdus Sattar,CPI(M),77923,48.53,Rafiquer Rahaman,AITC,69023,8900,5.54,89.43
Amta,,Pratyush Mukherjee,CPI(M),64924,51.87,Ashok Maji,AITC,53257,11667,9.32,84.18
Araidanga,,Sabitri Mitra,INC,58856,49.46,Sadiqul Islam,CPI(M),54576,4280,3.60,84.90
Arambagh,,Binoy Datta,CPI(M),104067,62.26,Bivabindu Nandi,AITC,50324,53743,32.15,85.43
Arsa,,Prabhat Mahato,AIFB,51379,47.15,Bibhuti Bhusan Mahato,INC,20469,30910,28.37,75.63
Asansol,,Prativaranjan Mukherjee,CPI(M),52692,49.12,Kalyan Banerjee,AITC,40882,11810,11.01,63.41
Ashokenagar,,Satyasebi Kar,CPI(M),73250,46.08,Dhiman Roy,AITC,71450,1800,1.13,86.57
Aurangabad,,Touab Ali,CPI(M),63407,45.99,Humayun Reza,INC,61041,2366,1.72,84.31
Ausgram,SC,Kartick Chandra Bag,CPI(M),85952,66.28,Chhaya Chowdhury,AITC,25956,59996,46.26,82.48
Baduria,,Md. Shelim Gain,CPI(M),63456,45.62,Abdul Gaffar Kazi,INC,63289,167,0.12,88.24
Bagdaha,SC,Dulal Bar,AITC,79896,49.77,Kamalakshi Biswas,AIFB,74991,4905,3.06,88.08
Bagnan,,Akkel Ali Khan,CPI(M),63327,45.13,Arup Roy,AITC,44966,18361,13.08,79.76
Baharampur,,Manoj Chakraborty,IND,94562,50.55,Amal Karmakar,RSP,68836,25726,13.75,81.04
Balagarh,SC,Dibakanta Routh,CPI(M),69627,51.85,Asima Patra,AITC,51662,17965,13.38,86.40
Balarampur,,Bhandu Majhi,CPI(M),57094,55.53,Barjuram Singh Sardar,AITC,31193,25901,25.19,79.87
